Wind_P_el_n;pV_P_inst;storage_E_max;OC;OA
1.0;18120801.499289908;28861334354.222645;0.7405301479401565;0.512552206841144
1.0;8179134.42701836;136413441436.35321;0.9995708401996656;0.23554665429880425
1.0;3516656.6200266187;282608993792.4852;0.9999999999999444;0.114417726748455
1.0;296153.0196372904;119603279684.98753;0.9999999999996122;0.0164037736271266
1.0;18725810.61347155;189343978624.91617;0.8378501475162932;0.5457891170267334
1.0;3377125.476340568;142504471545.03326;0.999999999999938;0.10265348275624647
1.0;20486013.850719515;190088392294.6719;0.8048566935470642;0.5973909963916921
1.0;7266242.404300653;122407603254.51537;0.9999434304263718;0.20892082679448215
1.0;11432411.391937975;81489640750.4247;0.9367890186614829;0.3266491622514764
1.0;10129799.933126986;241092541934.50375;0.9983460839701052;0.29662577712470595
1.0;1830226.6625790466;206860774997.58627;0.9999999999999002;0.06374035792286935
1.0;16434634.52236068;317869895270.17474;0.9351270216254869;0.4833823527333732
1.0;14841382.256417546;305057784043.6471;0.9564368490381508;0.4362570982851125
1.0;2899716.7100451314;309033688150.8452;0.9999999999999357;0.09889545543684819
1.0;9209413.704248132;237403841648.91373;0.9998771783171193;0.2700632625261677
1.0;5332688.8477860475;152729028639.7584;0.9999999995606753;0.15711172253110478
1.0;11929807.801670393;178353740743.38193;0.9653764854559923;0.34612237869264845
1.0;16322125.48686989;127305723156.19856;0.8519120811425842;0.4721295494699883
1.0;6651139.815618422;283762149610.89954;0.9999999858431062;0.20097418486388677
1.0;19901633.892716546;336175931921.00836;0.8855001739233314;0.5859077175130069
1.0;3799025.9719227115;55944484215.33588;0.9999999999999416;0.10900636469475285
1.0;5977591.891382357;56363251836.71721;0.9999739242072144;0.1690950389275518
1.0;7520053.923926935;221658356295.21072;0.9999999728300383;0.22164042978730675
1.0;13475636.392793734;33595691509.17331;0.8580150594930767;0.38119131260835876
1.0;17922080.9306321;209000637108.77606;0.8638042150397516;0.5230700303778334
1.0;8342491.831972022;340196661622.0342;0.9999999556424525;0.2512211211940429
1.0;12594028.344751205;67770528163.77381;0.9022838029094749;0.35933790168584623
1.0;8805315.457288364;113722741533.47504;0.9944505597858959;0.25235020318988216
1.0;19365675.71588579;248069612026.4978;0.855999264117411;0.5670262704488299
1.0;13563524.887069583;167307588591.77853;0.9300909792364159;0.3933368059709169
1.0;15812911.16497218;31961718980.168457;0.7974475817405094;0.44771051284132163
1.0;8700394.576350506;115738901129.20737;0.9956557101165235;0.24943250115052096
1.0;9476192.044468282;165253838963.28177;0.9955249052495281;0.27425096581941444
1.0;4388436.342855363;74521847447.75098;0.9999999999999497;0.12643335136661113
1.0;20154409.69246208;343551042537.8807;0.884248792332465;0.5935859243057185
1.0;19781868.200983867;104665845391.40662;0.7648870009317399;0.5712578524293483
1.0;16489785.866291977;294236034049.90576;0.9261462129055278;0.4841529433025172
1.0;3175951.021243453;87229842624.35918;0.9999999999999322;0.0938058747168104
1.0;15119744.356513776;222956668915.04025;0.9232530037980862;0.4412823022769201
1.0;15126482.941129925;75660734365.91272;0.8465097649089994;0.43352227434093904
1.0;14067774.217720896;111771102860.36209;0.8929183056857979;0.405283320352004
1.0;11827799.517182143;118393767854.61453;0.9448642385165236;0.34028694329590203
1.0;5496175.48252682;235239952097.48917;0.9999999993720162;0.16629341488094262
1.0;20379405.83630712;204789517893.71158;0.8150115850951056;0.5949676282926797
1.0;10167179.36820239;36375582407.64838;0.9443477822453298;0.2867135217859776
1.0;14528468.267848602;145439895670.12988;0.9004397075796852;0.42059284748943637
1.0;12110786.630034951;70425750799.22081;0.9152725550527606;0.34553084115392046
1.0;15420931.780782826;201213431993.03192;0.9085400075902506;0.44926674249226517
