pV_FFA_P_inst;pV_DACH_P_inst;storage_ffa_E_max;storage_dach_E_max;Wind_P_el_n;CAPEX;one_minus_oa_times_oc
1430779.3904810953;14858991.032467289;3852655977.329654;17043524751.621891;11980636.44189137;27141050.717814382;0.30211802805121357
37959498.14520201;14731638.351164557;46437552636.35853;33718455406.508213;15786515.262024544;52814256.71209669;0.2176820580476101
48328885.690871395;7566680.962704236;144940814593.61243;5763582680.987666;1010863.2559004389;41342036.322069794;0.4615416344791634
68821046.68159777;3365233.6219949247;107456229617.28873;7887959924.274978;3376293.3355584894;47373317.48823913;0.3657894968072972
24772694.99151579;16657126.534648329;103833908431.03177;24214870985.047886;14222388.149358628;48841992.13651694;0.23586301696104106
61251010.33235472;19256707.255621865;162959345689.94284;3424267702.1413865;11957398.760335742;68379151.21123417;0.2303543661166798
30268359.699999083;4442625.775482355;25126015769.800068;59040732894.29475;1524374.3235242155;30316077.923988223;0.47137905751336906
36871171.42446468;2461047.843454455;60320469712.965935;35337479751.0712;10810086.4349702;37263318.88695022;0.26462802525948914
85060692.48284544;8747622.330823034;83708957195.79541;3198170690.823755;3318027.3820375963;58861177.104488105;0.35770852796294217
91233358.57217701;9757838.591962129;93187083480.56995;25219972022.431423;6922884.380845508;69246515.24905413;0.27867941598573465
99345242.73104134;17705539.85560378;47849441569.43239;9587767079.060572;15349967.635972042;82880573.57405259;0.19978992417534447
68124579.26346767;5020706.306159297;117352658297.22961;34775396701.62573;12948618.21425361;60143967.93476634;0.22586968143107544
41442369.21633839;8587733.912924249;128050431424.73233;10495352903.222956;12951655.647383526;47594261.01678607;0.23760494333746696
31093818.04249468;1509353.678408181;11714533535.62155;8631286480.278402;14305868.995887244;29635261.654144153;0.24468793662393673
3685636.5868780217;17608241.623513497;60706793175.87504;12209296140.312302;11696265.194208698;33291594.008534353;0.28662931751489484
63708723.875552595;13455072.378413368;14062687855.257742;43203106454.66036;12479169.684403744;61450503.46793184;0.2277162098071258
70214473.55936186;11734382.801782424;134679629233.56963;70949562453.45644;4022570.88251396;67194855.26374942;0.3421288567144949
1566699.539140524;8644150.475002497;177506626857.99237;55764093377.435585;12059197.661172176;36078390.729428634;0.341649190794759
95515069.70180093;19744808.278811663;165919428985.93637;51062995402.28604;1472162.5859640175;84916293.81872134;0.4122093855440947
25974057.11639254;13361253.503744166;5772924777.533673;38634703830.48053;10798666.584933706;40133931.131403774;0.26523157644981854
71714012.19878858;6562198.901048379;30288564407.6959;14225723599.631958;15502151.08382932;57704311.28035776;0.20768977272398959
94862387.62144676;13190060.625268128;72980111086.67183;65178163633.99556;14970071.599179907;84955781.47824648;0.20351733100143354
8102200.203823312;1056498.165090371;111028033385.43993;47888980758.83615;16670100.00068271;30429644.672099076;0.31255359836841
96223412.91036011;9236759.866454024;43177106382.91829;59620816050.56076;16793230.99882307;80622786.59904695;0.1942867736236623
84883655.80486657;17289304.19868847;138477712313.25674;45064977287.091576;10710094.911856104;81715934.14784637;0.2350841680654614
57122356.01753565;334263.5492957564;91102915125.2924;22927889587.864487;12551949.119279666;46555105.56946519;0.23442082831634692
84658124.01982649;11893629.458462108;164245887009.28708;60893113843.332596;5920048.379290669;76244876.17604439;0.29544431733940046
99376132.78624709;17770785.17548288;63067269205.02585;21821068050.96;8293077.454812458;80213100.73373942;0.2566275545112854
39557308.94646709;11341454.433474261;104129756319.20152;30039704892.33768;9608097.403921403;48283349.65687362;0.2671986789674782
18909289.827650573;1399353.8674211972;59210205882.963875;3762699746.330279;14400850.776895704;25466689.93329546;0.2675413318334392
3889721.981265136;15526392.84636502;175708461695.10782;39088286152.66019;669871.318136129;33164167.16319737;0.5558517154671493
51040028.54011773;8059561.600909543;64657797200.949844;71326075541.77989;8389576.590968633;53370257.539494865;0.2749532859761198
59917225.24585872;19585082.233033817;171861972416.8036;54718752478.522415;12489646.029565345;76058643.4677544;0.22676175354883044
42555126.631441005;6156978.503161839;137639486821.2819;12983982951.285616;2405775.216621681;38688842.35354283;0.4155275754110572
95928822.75939263;8509680.214723524;67834930461.54667;18956351599.485115;9408086.04314904;69931589.98568492;0.2469816165746822
44445952.01651572;7175600.994092932;44307981584.531685;19499674221.10967;16609162.627970602;47025291.59206795;0.2137271153794965
76429432.67919606;1563537.561383648;91622303369.34778;20120776035.030224;7177967.703261639;53046409.8704792;0.28163054469078896
27451792.156718675;12887916.25307667;35735892465.60835;12377760894.892912;6771670.363251436;35397025.92069907;0.31442536242570707
21440509.686034877;15550771.629831344;140069507363.18292;19910368454.48343;621576.1282462907;37284176.81899969;0.5038398322469607
